"freq","daily_freq"
"12H",2
"6DR",4
"6H",4
"8HS",3
"BDEOD",1
"BDR",2
"BWV",0.285714286
"OD",1
"ODR",1
"OWST",7
"PRN",NA
"TTWV",0.428571429
"12HS",2
"2H",12
"48HS",0.5
"4H",6
"5W",0.714285714
"6SPLT",1
"6W",0.857142857
"72HS",0.333333333
"96H",0.25
"BDVAR",2
"BWBD",0.285714286
"EVE",1
"OW",0.142857143
"TDR",3
"1.5H",16
"2SPLT",1
"3H",8
"3SPLT",1
"4HD",6
"4W",0.571428571
"6HS",4
"6X",6
"72H",0.333333333
"8H",3
"BD",2
"BDTTW",0.428571429
"BW",0.285714286
"EODV",0.5
"HR",24
"NOCTE",1
"TDS",3
"24H",24
"5*",5
"7X",7
"EOD",0.5
"ODV",1
"OOF",1
"QDR",4
"QDS",4
"TTW",0.428571429
"1.5HD",18
"2MEAL",1
"4SPLT",1
"5DR",5
"BD72H",0.333333333333333
"MEAL",3
"OD5+2",0.714285714285714
"OWBD",0.142857142857143
"TTWBD",0.428571428571429
